instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2018-07-27,7.1937313,16831246.0,7.1721287,7.193732,0.079209805
SH600000,2018-07-30,7.2945447,27908002.0,7.1937313,7.2201347,0.13681746
SH600000,2018-07-31,7.323349,25278680.0,7.2945447,7.2705417,0.14401865
SH600000,2018-08-01,7.136124,28804442.0,7.323349,7.2513394,0.26643515
SH600000,2018-08-02,7.049713,34000972.0,7.136124,7.1697288,0.26643467
SH600000,2018-08-03,7.078517,23605190.0,7.049713,7.088118,0.15842009
SH600000,2018-08-06,7.136124,24225324.0,7.078517,7.088118,0.115214825
SH600000,2018-08-07,7.280143,30252554.0,7.136124,7.164928,0.12961721
SH600000,2018-08-08,7.2369375,18694790.0,7.280143,7.217735,0.100812435
SH600000,2018-08-09,7.301746,24566058.0,7.2369375,7.272942,0.13681841
SH600000,2018-08-10,7.251339,18292954.0,7.301746,7.263341,0.086411476
SH600000,2018-08-13,7.1865306,24896314.0,7.251339,7.2465386,0.1152153
SH600000,2018-08-14,7.244138,22036848.0,7.1865306,7.227336,0.086411476
SH600000,2018-08-15,7.128923,20534886.0,7.244138,7.1865306,0.1152153
SH600000,2018-08-16,7.244138,33778476.0,7.128923,7.205733,0.20162582
SH600000,2018-08-17,7.1865306,20956250.0,7.244138,7.1865306,0.16562128
SH600000,2018-08-20,7.3089457,37460844.0,7.1865306,7.246538,0.115214825
SH600000,2018-08-21,7.287344,27477738.0,7.3089457,7.26094,0.07921028
SH600000,2018-08-22,7.265741,16655539.0,7.287344,7.2873435,0.10081339
SH600000,2018-08-23,7.251339,21577498.0,7.265741,7.2681413,0.11521578
SH600000,2018-08-24,7.416961,44812024.0,7.251339,7.311347,0.2952385
SH600000,2018-08-27,7.4385633,32310600.0,7.416961,7.3689547,0.10081339
SH600000,2018-08-28,7.416961,20288600.0,7.4385633,7.424162,0.093612194
SH600000,2018-08-29,7.431362,14389803.0,7.416961,7.428962,0.04320526
SH600000,2018-08-30,7.323349,25860386.0,7.431362,7.3905573,0.172822
SH600000,2018-08-31,7.4385633,51815130.0,7.323349,7.397758,0.14401865
SH600000,2018-09-03,7.373754,19871788.0,7.4385633,7.3785553,0.093612194
SH600000,2018-09-04,7.467367,22709642.0,7.373754,7.4265614,0.15841961
SH600000,2018-09-05,7.287344,31564288.0,7.467367,7.376155,0.1800232
SH600000,2018-09-06,7.301746,14646597.0,7.287344,7.3521523,0.07921028
SH600000,2018-09-07,7.33775,12492432.0,7.301746,7.3089466,0.093612194
SH600000,2018-09-10,7.3305492,16418447.0,7.33775,7.3233485,0.07200909
SH600000,2018-09-11,7.215335,27342350.0,7.3305492,7.2945447,0.20882797
SH600000,2018-09-12,7.229736,22922174.0,7.215335,7.25854,0.086411
SH600000,2018-09-13,7.409759,40851932.0,7.229736,7.284943,0.13681841
SH600000,2018-09-14,7.3881574,22845346.0,7.409759,7.3425508,0.10801363
SH600000,2018-09-17,7.3089457,14630527.0,7.3881574,7.368954,0.12961626
SH600000,2018-09-18,7.3881574,23170316.0,7.3089457,7.3617535,0.12241602
SH600000,2018-09-19,7.373754,25761448.0,7.3881574,7.356952,0.064808846
SH600000,2018-09-20,7.359353,22645750.0,7.373754,7.373755,0.07200909
SH600000,2018-09-21,7.5537786,52175784.0,7.359353,7.4289618,0.24483204
SH600000,2018-09-25,7.4529657,22051586.0,7.5537786,7.4553657,0.10801458
SH600000,2018-09-26,7.4961705,43294110.0,7.4529657,7.500972,0.15842104
SH600000,2018-09-27,7.5465765,33582756.0,7.4961705,7.498571,0.07200909
SH600000,2018-09-28,7.64739,51980216.0,7.5465765,7.563379,0.22322941
SH600000,2018-10-08,7.316148,58266444.0,7.64739,7.5033712,0.23763084
SH600000,2018-10-09,7.3089457,32161152.0,7.316148,7.424161,0.12241602
SH600000,2018-10-10,7.323349,25169934.0,7.3089457,7.3161473,0.10801363
SH600000,2018-10-11,7.0569143,54238508.0,7.323349,7.2297363,0.24483156
SH600000,2018-10-12,7.2225356,34919264.0,7.0569143,7.200933,0.19442558
SH600000,2018-10-15,7.2225356,19383382.0,7.2225356,7.1673284,0.13681746
SH600000,2018-10-16,7.2369375,21258836.0,7.2225356,7.2273364,0.15842009
SH600000,2018-10-17,7.409759,36829810.0,7.2369375,7.289744,0.12241554
SH600000,2018-10-18,7.33775,31112620.0,7.409759,7.328149,0.13681793
SH600000,2018-10-19,7.4745674,56008564.0,7.33775,7.4073586,0.25923395
SH600000,2018-10-22,7.64739,65274060.0,7.4745674,7.486569,0.2736354
SH600000,2018-10-23,7.5249743,52894588.0,7.64739,7.5489774,0.1800232
SH600000,2018-10-24,7.7338014,82163736.0,7.5249743,7.6353884,0.34564543
SH600000,2018-10-25,7.8058105,51196972.0,7.7338014,7.688195,0.25203323
SH600000,2018-10-26,7.8634186,38216310.0,7.8058105,7.80101,0.17282248
SH600000,2018-10-29,7.7698064,48974156.0,7.8634186,7.8130116,0.29523802
SH600000,2018-10-30,7.8850207,45946896.0,7.7698064,7.839415,0.115214825
SH600000,2018-10-31,7.906623,30186528.0,7.8850207,7.8538165,0.115214825
SH600000,2018-11-01,7.8418155,32642054.0,7.906623,7.8778195,0.16562176
SH600000,2018-11-02,8.050643,66364904.0,7.8418155,7.9330273,0.22322893
SH600000,2018-11-05,8.021839,23625772.0,8.050643,7.9714327,0.1224165
SH600000,2018-11-06,7.942628,25583462.0,8.021839,8.005036,0.10801411
SH600000,2018-11-07,7.8490157,28946064.0,7.942628,7.9378276,0.16562176
SH600000,2018-11-08,7.964232,27762630.0,7.8490157,7.9186254,0.14401913
SH600000,2018-11-09,7.741002,35509360.0,7.964232,7.8514166,0.23763084
SH600000,2018-11-12,7.7770066,37517124.0,7.741002,7.8274136,0.14401865
SH600000,2018-11-13,7.7914085,28758400.0,7.7770066,7.769806,0.15842009
SH600000,2018-11-14,7.704998,24994238.0,7.7914085,7.7578044,0.13681746
SH600000,2018-11-15,7.7554045,23024878.0,7.704998,7.7506037,0.11521578
SH600000,2018-11-16,7.7482033,29710622.0,7.7554045,7.736202,0.10081339
